Angry,Enrage,make violently angry.,She was Enraged at his stupidity.,
Angry,Fume,feel or express great anger.,She sat in the car; silently Fuming at the traffic jam.,
Angry,Glower,have an angry and sullen look on face.,The entire ninth grade turned to Glower at us.,
Angry,Incense,make or get angry.,Incensed; Mr. John demanded on national television that Ms. Rihana be given a,
Angry,Infuriate,make someone angry.,Her silence Infuriated him even more.,
Angry,Irate,very angry.,The employee wrote an Irate letter to the editor.,
Angry,Ire,anger.,If you routinely steal your neighbors newspaper; dont be surprised to be on the,
Angry,Livid,angry.,Dad will be Livid when he finds this out.,
Angry,Rabid,very angry.,The fans became Rabid when their team lost the match.,
Angry,Seethe,very angry.,He marched off; seething with frustration.,
Angry,Smolder,feel angry.,He was Smoldering with rage when he learned that his orders were not followed.,
Angry,Wrath,great anger.,Some reporters hardly draw the Wrath of critical bloggers.,
Avoid /doge,Avert,turn away or prevent.,He did his best to Avert suspicion.,
Avoid /doge,Circumvent,avoid.,They found a way of Circumventing the law.,
Avoid /doge,Deflect,divert the course of something.,All attempts to Deflect attention from his private life have failed.,
Avoid /doge,Elude,to escape or avoid in a cunning manner.,The two men managed to Elude the police for six weeks.,
Avoid /doge,Evade,when you evade something; you escape it.,For two weeks; they Evaded the press.,
Avoid /doge,Parry,avoid a question or blow.,He parried the question asked by the journalist.,
Avoid /doge,Shirk,avoid duty or responsibility.,Discipline in the company was strict and no one Shirked his/her duties.,
Avoid /doge,Shunt,move to a less important place or position.,John was Shunted sideways to a job in sales.,
Avoid /doge,Skirt,avoid fulfilling; answering; or performing (duties; questions; or issues).,She Skirted the problem.,
Avoid /doge,Swerve,changing directions suddenly; possibly to avoid a collision.,The bus suddenly Swerved into his path.,
Avoid /doge,X Headlong,done rashly; or really quickly.,The government is taking care not to rush headlong into another controversy.,
Awkward / unskilled,Feckless,ineffective or incapable.,She had become Feckless because of illness.,
Awkward / unskilled,Fumble,do awkwardly or carelessly.,He Fumbled with the buttons on his shirt.,
Awkward / unskilled,Gauche,awkward and unsophisticated.,Their exquisite manners always make me feel Gauche.,
Awkward / unskilled,Inept,unskillful.,She was left feeling Inept and inadequate.,
Awkward / unskilled,Maladroit,awkward and unskillful.,Both parties are unhappy about the Maladroit handling of the whole affair.,
Awkward / unskilled,Ungainly,awkward.,He was a tall; Ungainly boy of eighteen.,
Waste time,Dally,move slowly or waste time.,During our free time in college; we used to Dally around the corridor.,
Waste time,Dawdle,be slow or waste time.,Stop dawdling! We're going to be late!,
Waste time,Dilatory,causing delay.,The government has been Dilatory in dealing with the problem of,
Waste time,Dilly Dally,postpone doing something.,Don't dilly-dally on the way home from school.,
Waste time,Laggard,someone who is always lagging behind.,Laggards are the ones still using fax machines instead of email.,
Waste time,Linger,stay in a place for a longer time than required.,We Lingered around the hotel for a while after the party.,
Waste time,Malinger,fake illness in order to avoid duty or work.,The boss knew that he was Malingering because he wanted to see the world cup,
Beginning,Onset,the beginning of something.,Diagnostic errors are even more common in early Onset of Alzheimer's disease.,
Beginning,Outset,the beginning of something.,I made it clear right from the Outset that I disapproved the plan.,
Beginning,X Egress,the act of leaving a place.,Use the doorways intended for egress only.,
Burn/Hot /x cold,Tepid,slightly warm.,The mushrooms develop more flavor if you use the slower method of soaking,
Burn/Hot /x cold,Conflagration,a large and destructive fire.,The conflgaration destroyed property worth millions.,
Burn/Hot /x cold,Scald,injure with hot liquid.,Be careful not to Scald yourself with the steam.,
Burn/Hot /x cold,Scathe,injure or harm; especially by fire.,Her sensitive skin got Scathed because of excessive heat.,
Burn/Hot /x cold,Scorch,burn the surface of something.,I Scorched my dress when I was ironing it.,
Burn/Hot /x cold,Sear,burn the surface by heat.,The heat of the sun Seared their faces.,
Burn/Hot /x cold,Singe,burn superficially or lightly.,He Singed his hair as he tried to light his cigarette.,
Burn/Hot /x cold,Swelter,be very hot.,Passengers Sweltered in temperatures of over 45 degrees.,
Burn/Hot /x cold,Torrid,very hot.,We watched him shoot for the movie on a Torrid afternoon.,
Burn/Hot /x cold,X Frigid,very cold.,Frigid climate spoiled their entire journey.,
Burn/Hot /x cold,X Glacial,very cold.,The glacial wind whipped her skin blue.,
Displaying Knowledge,Cerebral,intellectual,The content of philosophical works is Cerebral in nature and requires much,
Displaying Knowledge,Didactic,try to teach; esp morals. This word is often used negatively for when someone is,The poets works became increasingly idactic after his religious conversion.,
Displaying Knowledge,Erudite,showing great knowledge.,She could turn any conversation into an Erudite discussion.,
Displaying Knowledge,Pedantic,very concerned with minor details of academic learning.,A Pedantic insistence on the correct way of doing things.,
Displaying Knowledge,Pundit,a learned person or expert.,Political Pundits in the United States predicted a historic win for Barack Obama in,
Flexible / Skilful,Adept,skillful.,He became Adept at getting even the shyest students to talk.,
Flexible / Skilful,Adroit,skillful; esp with using hands.,I want to become an Adroit guitarist.,
Flexible / Skilful,Agile,moving quickly and easily.,He had the agility of a man half his age.,
Flexible / Skilful,Consummate,very skillful.,She was a Consummate performer.,
Flexible / Skilful,Deft,done neatly and skilfully.,He finished off the painting with a few Deft strokes of the brush.,
Flexible / Skilful,Dexterous,skilled at using hands.,Paul Fraier was quietly Dexterous on bass guitar.,
Flexible / Skilful,Limber,flexible.,His muscles are Limber that is why he is into gymnastics.,
Flexible / Skilful,Lithe,flexible.,The dancer has a Lithe body.,
Flexible / Skilful,Nimble,able to move quickly and easily.,You need Nimble fingers for that job.,
Flexible / Skilful,Proficient,efficient.,With practice; you should become Proficient within six months.,
Flexible / Skilful,Prowess,exceptional skill or ability.,He was complimented on his Prowess as an oarsman.,
Flexible / Skilful,Supple,bending; moving easily.,These exercises will help to keep you Supple.,
Having twist and turns,Byzantine,highly complex or intricate.,This is an organiation of Byzantine complexity.,
Having twist and turns,Circuitous,longer or roundabout (path).,He took us on a Circuitous route to the hotel.,
Having twist and turns,Convoluted,complex and difficult to understand.,She could not follow his Convoluted discourse.,
Having twist and turns,Intertwine,twisted together.,Their political careers had become closely Intertwined.,
Having twist and turns,Meander,follow a winding course,The stream Meanders slowly down to the river.,
Having twist and turns,Sinuous,having curves and turns.,His works are generally flat and decorative; with strong Sinuous lines.,
Having twist and turns,Tortuous,having twists and turns.,A Tortuous road up the mountain.,
Horrifying/ shocking/ x Attraction,Appalling,shocking.,The brutality of the crime appalled the public.,
Horrifying/ shocking/ x Attraction,Egregious,extremely unpleasant or bad.,There are several prime ministers in the past who have committed far more,
Horrifying/ shocking/ x Attraction,Ghastly,causing horror.,She woke up in the middle of a Ghastly nightmare.,
Horrifying/ shocking/ x Attraction,Grisly,causing horror.,The jurors saw Grisly photos of the crime scene.,
Horrifying/ shocking/ x Attraction,Gross,vulgar or disgusting.,These Gross remarks will not be tolerated.,
Horrifying/ shocking/ x Attraction,Grotesque,ugly or repulsive.,All countries should mandate large; Grotesque pictorial warnings on cigarette,
Horrifying/ shocking/ x Attraction,Gruesome,causing horror,We spent a week in a Gruesome apartment in Miami.,
Horrifying/ shocking/ x Attraction,Heinous,wicked or evil.,There were Heinous accusations made against them for involving in child labour,
Horrifying/ shocking/ x Attraction,Hideous,very ugly or repulsive.,Their new color scheme is Hideous!,
Horrifying/ shocking/ x Attraction,Horrendous,horrible.,The police officer said the attack was the most Horrendous he had ever seen.,
Horrifying/ shocking/ x Attraction,Macabre,horrifying because of involvement with death;injury;etc.,The scene of crime was a Macabre sight.,
Horrifying/ shocking/ x Attraction,Monstrous,very ugly or horrifying.,He is considering launching new courses in New York and sees Latin America as,
Horrifying/ shocking/ x Attraction,Morbid,showing interest in unpleasant and disturbing subjects (death; disease; etc).,He had a Morbid fascination with blood.,
Horrifying/ shocking/ x Attraction,Unsightly,ugly.,The accident site was unslightly.,
Horrifying/ shocking/ x Attraction,Vile,extremely unpleasant.,The weather was really Vile most of the time.,
Horrifying/ shocking/ x Attraction,X Aesthetic,pleasing appearance or artistic beauty.,The beautiful sculpture was a mirror image of the carver's aesthetic values.,
Horrifying/ shocking/ x Attraction,X Comely,attractive or beautiful.,The General's lady is a comely; affable woman.,
Inclination,Affinity,natural liking.,Sam was born in the country INDIA and had a deep Affinity with nature.,
Inclination,Bent,an inclination.,She has a religious Bent of mind.,
